id,nombre,apellido,salario_mensual,deudas,retefuente,correo,telefono,cargo
2058,Fernando,Gómez Pérez,2197183,False,1.00,Fernando50@correo.com,3685803529,Desarrollador Intermedio
2059,Elena,López Pérez,3873433,True,1.00,Elena35@correo.com,1907792977,Desarrollador Avanzado
2060,Andrés,Fernández Pérez,17523498,False,1.00,Andrés53@correo.com,7212370785,Arquitecto
2061,Lucía,Sánchez García,14170651,False,1.00,Lucía48@correo.com,4488909827,Desarrollador Junior
2062,Laura,Ramírez López,1447258,False,1.00,Laura42@correo.com,2280883823,Desarrollador Avanzado
2063,María,González Pérez,2715046,True,1.00,María43@correo.com,2279882268,Desarrollador Intermedio
2064,Juan,Fernández González,7254226,True,1.00,Juan57@correo.com,540368846,Desarrollador Avanzado
2065,Isabel,González Pérez,16480911,True,1.00,Isabel51@correo.com,4767994068,Arquitecto
2066,Carlos,Díaz García,14783759,False,1.00,Carlos48@correo.com,912701249,Desarrollador Avanzado
2067,Carmen,Hernández Rodríguez,4025773,False,1.00,Carmen46@correo.com,9231393460,Arquitecto
2068,Pedro,Fernández González,3261283,True,1.00,Pedro31@correo.com,3207202042,Arquitecto
2069,Andrés,García Díaz,15705234,False,1.00,Andrés59@correo.com,2251773316,Desarrollador Junior
2070,Carmen,Ramírez López,10188660,True,1.00,Carmen27@correo.com,8544169974,Desarrollador Avanzado
2071,Elena,Martínez Sánchez,16050694,True,1.00,Elena56@correo.com,84233791,Desarrollador Avanzado
2072,Andrés,Rodríguez López,9956926,True,1.00,Andrés49@correo.com,5945400046,Desarrollador Avanzado
2073,Pedro,García Díaz,14088167,False,1.00,Pedro40@correo.com,2609261648,Desarrollador Intermedio
2074,Silvia,Gómez Pérez,10429691,True,1.00,Silvia33@correo.com,8046889215,Desarrollador Junior
2075,Luis,Arisizabal Florez,7779368,False,1.00,Luis46@correo.com,2145572242,Desarrollador Junior
2076,Silvia,Arisizabal Florez,4553017,True,1.00,Silvia46@correo.com,5499801182,Arquitecto
2077,Fernando,Arisizabal Florez,8326989,True,1.00,Fernando51@correo.com,6240753668,Desarrollador Intermedio
2078,Isabel,Hernández Rodríguez,14393074,True,1.00,Isabel41@correo.com,8017193923,Desarrollador Avanzado
2079,Lucía,López González,2072326,False,1.00,Lucía55@correo.com,7851058501,Desarrollador Avanzado
2080,Elena,Fernández Pérez,14459134,False,1.00,Elena37@correo.com,5117565357,Desarrollador Junior
2081,Fernando,Arisizabal Florez,6448907,True,1.00,Fernando54@correo.com,3878270120,Arquitecto
2082,Patricia,Gómez Pérez,2116997,True,1.00,Patricia41@correo.com,1058158316,Desarrollador Junior
2083,Javier,López Pérez,1821105,True,1.00,Javier44@correo.com,3373419637,Desarrollador Intermedio
2084,Sofía,Ramírez López,8712004,False,1.00,Sofía46@correo.com,7214725272,Arquitecto
2085,Carlos,Torres Sánchez,3364007,False,1.00,Carlos48@correo.com,9406205248,Desarrollador Avanzado
2086,Lucía,Torres Sánchez,3644879,False,1.00,Lucía52@correo.com,5963317837,Arquitecto
2087,Miguel,Carvajal Casillas,2942842,False,1.00,Miguel41@correo.com,3691919919,Arquitecto
2088,Juan,Arisizabal Florez,13555573,True,1.00,Juan40@correo.com,6182621422,Desarrollador Avanzado
2089,Javier,García Díaz,14095315,False,1.00,Javier35@correo.com,2122845525,Desarrollador Intermedio
2090,Carmen,Hernández Rodríguez,7772645,False,1.00,Carmen25@correo.com,8848882253,Desarrollador Intermedio
2091,Sofía,Fernández Pérez,12919040,True,1.00,Sofía40@correo.com,5210155873,Desarrollador Avanzado
2092,María,Martínez Sánchez,7491554,False,1.00,María30@correo.com,8736269188,Desarrollador Avanzado
2093,Silvia,Sánchez López,2380111,True,1.00,Silvia50@correo.com,4599920716,Desarrollador Avanzado
2094,Pedro,González Pérez,10898978,False,1.00,Pedro28@correo.com,2221460279,Desarrollador Avanzado
2095,Miguel,García Díaz,11819894,True,1.00,Miguel54@correo.com,8359188394,Desarrollador Avanzado
2096,Carlos,Hernández Rodríguez,8957691,True,1.00,Carlos50@correo.com,2511160367,Desarrollador Junior
2097,Sofía,Rodríguez López,11874387,True,1.00,Sofía48@correo.com,715928213,Desarrollador Intermedio
2098,Sofía,Martínez Sánchez,14703090,False,1.00,Sofía30@correo.com,6105127771,Desarrollador Avanzado
2099,Miguel,Díaz Martínez,3093273,True,1.00,Miguel31@correo.com,6194476528,Desarrollador Avanzado
2100,Javier,Martínez Sánchez,17934525,False,1.00,Javier58@correo.com,9681555448,Desarrollador Avanzado
2101,Pedro,Martínez Sánchez,2292267,True,1.00,Pedro22@correo.com,114533638,Desarrollador Avanzado
2102,Javier,Gómez Pérez,2306319,False,1.00,Javier48@correo.com,5256107585,Desarrollador Intermedio
2103,Patricia,Ramírez López,2961413,True,1.00,Patricia39@correo.com,9718856263,Desarrollador Junior
2104,Miguel,López Pérez,15981353,False,1.00,Miguel60@correo.com,1929215291,Arquitecto
2105,Ricardo,Torres Rodríguez,10495678,True,1.00,Ricardo34@correo.com,5681544729,Desarrollador Intermedio
2106,Carmen,Pérez García,1185840,False,1.00,Carmen37@correo.com,8048961742,Desarrollador Intermedio
2107,Carlos,Sánchez López,13000572,True,1.00,Carlos26@correo.com,4183496697,Arquitecto
2108,Fernando,Pérez García,11883489,False,1.00,Fernando40@correo.com,7071796478,Desarrollador Intermedio
2109,Isabel,Sánchez López,17438317,True,1.00,Isabel27@correo.com,8385533731,Desarrollador Intermedio
2110,Silvia,Torres Rodríguez,1822807,False,1.00,Silvia26@correo.com,8390591150,Desarrollador Avanzado
2111,Carlos,Hernández Rodríguez,17713291,True,1.00,Carlos44@correo.com,6731418901,Desarrollador Junior
2112,Carlos,Díaz Martínez,5116662,False,1.00,Carlos29@correo.com,7376180742,Desarrollador Intermedio
2113,Andrés,Torres Rodríguez,10260112,False,1.00,Andrés39@correo.com,2557019694,Arquitecto
2114,Miguel,Díaz Martínez,11108013,True,1.00,Miguel44@correo.com,9940410193,Desarrollador Intermedio
2115,Juan,Ramírez López,1960938,False,1.00,Juan41@correo.com,2639172790,Arquitecto
2116,Isabel,Torres Sánchez,11487130,True,1.00,Isabel28@correo.com,3168847167,Desarrollador Intermedio
2117,Pedro,Ramírez López,13254137,False,1.00,Pedro23@correo.com,833256420,Arquitecto
2118,Ana,Sánchez López,16598037,False,1.00,Ana37@correo.com,8649298903,Desarrollador Intermedio
2119,Miguel,Torres Rodríguez,2293767,False,1.00,Miguel49@correo.com,9699489200,Desarrollador Intermedio
2120,Silvia,Torres Sánchez,6860914,True,1.00,Silvia44@correo.com,3062547737,Arquitecto
2121,Sofía,Carvajal Casillas,8991699,True,1.00,Sofía48@correo.com,6437978354,Desarrollador Avanzado
2122,Ana,López Pérez,7203809,False,1.00,Ana23@correo.com,1868098518,Desarrollador Junior
2123,Juan,Ramírez López,7123995,False,1.00,Juan23@correo.com,457880681,Arquitecto
2124,José,Rodríguez López,2480481,False,1.00,José52@correo.com,2382025893,Desarrollador Avanzado
2125,Lucía,Ramírez López,1383680,True,1.00,Lucía23@correo.com,3541807811,Desarrollador Avanzado
2126,Luis,Rodríguez López,4902989,False,1.00,Luis26@correo.com,8097565666,Desarrollador Intermedio
2127,Luis,Torres Rodríguez,4104768,True,1.00,Luis28@correo.com,3341399868,Desarrollador Junior
2128,Lucía,López Pérez,9144523,True,1.00,Lucía35@correo.com,5393582787,Arquitecto
2129,Sofía,López González,5281655,False,1.00,Sofía42@correo.com,4951341072,Arquitecto
2130,Carmen,Torres Rodríguez,9191857,True,1.00,Carmen41@correo.com,5225180754,Desarrollador Intermedio
2131,Isabel,Sánchez García,4048477,True,1.00,Isabel52@correo.com,6516200692,Desarrollador Intermedio
2132,Isabel,López González,7238690,False,1.00,Isabel50@correo.com,7870105857,Desarrollador Intermedio
2133,Juan,Arisizabal Florez,2357368,False,1.00,Juan55@correo.com,2844310222,Desarrollador Avanzado
2134,Juan,Fernández González,4158546,True,1.00,Juan58@correo.com,6447893447,Desarrollador Junior
2135,Silvia,López González,9439621,False,1.00,Silvia53@correo.com,1098811384,Arquitecto
2136,Carmen,Ramírez López,6808638,True,1.00,Carmen43@correo.com,6872609490,Desarrollador Junior
2137,Miguel,Fernández González,13818570,False,1.00,Miguel59@correo.com,9938171650,Desarrollador Avanzado
2138,Isabel,Fernández Pérez,11984264,False,1.00,Isabel36@correo.com,5242246489,Desarrollador Junior
2139,Patricia,Sánchez García,17462070,True,1.00,Patricia28@correo.com,3322855336,Desarrollador Avanzado
2140,Lucía,Gómez Pérez,16263037,False,1.00,Lucía51@correo.com,2548002469,Desarrollador Junior
2141,Laura,Gómez Pérez,5403467,True,1.00,Laura28@correo.com,8351716608,Arquitecto
2142,Luis,Carvajal Casillas,16770547,False,1.00,Luis38@correo.com,1867887298,Desarrollador Intermedio
2143,Pedro,Ramírez López,9954345,False,1.00,Pedro44@correo.com,4900624856,Arquitecto
2144,Ana,Sánchez García,10576671,True,1.00,Ana55@correo.com,8769014870,Arquitecto
2145,Javier,Fernández Pérez,8372423,True,1.00,Javier45@correo.com,4677572613,Desarrollador Avanzado
2146,María,García Díaz,12318240,True,1.00,María47@correo.com,5172787257,Desarrollador Intermedio
2147,Luis,Sánchez López,1328456,True,1.00,Luis59@correo.com,9714176149,Arquitecto
2148,Elena,Ramírez López,4043389,False,1.00,Elena51@correo.com,130678472,Desarrollador Intermedio
2149,Carmen,González Pérez,9900919,False,1.00,Carmen34@correo.com,7577924673,Desarrollador Intermedio
2150,Andrés,Díaz Martínez,16252488,False,1.00,Andrés25@correo.com,9583965271,Desarrollador Junior
2151,Sofía,Torres Sánchez,16721657,False,1.00,Sofía29@correo.com,8459705413,Desarrollador Intermedio
2152,Juan,Sánchez García,11179207,True,1.00,Juan35@correo.com,3408454262,Desarrollador Avanzado
2153,Isabel,Torres Rodríguez,14331262,True,1.00,Isabel48@correo.com,5293859450,Desarrollador Avanzado
2154,Juan,Gómez Pérez,8776428,True,1.00,Juan23@correo.com,2949614684,Desarrollador Junior
2155,Andrés,García Díaz,9287895,False,1.00,Andrés59@correo.com,5405762091,Desarrollador Junior
2156,Pedro,Torres Sánchez,12807617,True,1.00,Pedro50@correo.com,2740464041,Arquitecto
2157,Ana,López González,12184232,True,1.00,Ana26@correo.com,4168161615,Desarrollador Intermedio
2158,Ricardo,Martínez Sánchez,4839211,True,1.00,Ricardo48@correo.com,7085802585,Desarrollador Avanzado
2159,José,Martínez Sánchez,12703323,True,1.00,José49@correo.com,2256281370,Desarrollador Junior
2160,Patricia,García Díaz,3369850,False,1.00,Patricia57@correo.com,6346052598,Desarrollador Junior
2161,Ricardo,Ramírez López,5845492,False,1.00,Ricardo31@correo.com,3606975957,Arquitecto
2162,Fernando,González Pérez,3947197,True,1.00,Fernando60@correo.com,7752476819,Arquitecto
2163,Fernando,Sánchez García,1409212,True,1.00,Fernando37@correo.com,3089334099,Desarrollador Avanzado
2164,María,Fernández González,10461772,False,1.00,María43@correo.com,4555662828,Desarrollador Junior
2165,Ana,Arisizabal Florez,1654735,True,1.00,Ana28@correo.com,5845782852,Desarrollador Intermedio
2166,Andrés,Fernández González,3643201,True,1.00,Andrés25@correo.com,3601200528,Desarrollador Intermedio
2167,Luis,Fernández Pérez,8075553,False,1.00,Luis55@correo.com,2049008622,Desarrollador Junior
2168,Silvia,González Pérez,16920305,False,1.00,Silvia37@correo.com,9299476667,Desarrollador Junior
2169,Isabel,Fernández González,9210249,True,1.00,Isabel40@correo.com,4311445643,Desarrollador Junior
2170,Silvia,Rodríguez López,10821710,True,1.00,Silvia41@correo.com,310820679,Desarrollador Intermedio
2171,Carmen,González Pérez,2392984,True,1.00,Carmen31@correo.com,5443748846,Desarrollador Junior
2172,María,López González,16854020,False,1.00,María34@correo.com,1163232308,Arquitecto
2173,María,González Pérez,1362308,True,1.00,María60@correo.com,6393485199,Desarrollador Junior
2174,Ricardo,Díaz García,9180750,False,1.00,Ricardo56@correo.com,5491032828,Desarrollador Junior
2175,Carmen,Arisizabal Florez,15426870,True,1.00,Carmen29@correo.com,6162700337,Arquitecto
2176,Javier,Rodríguez López,3335692,False,1.00,Javier47@correo.com,6009807395,Desarrollador Junior
2177,Miguel,Martínez Sánchez,6945562,True,1.00,Miguel44@correo.com,2710448454,Desarrollador Avanzado
2178,Isabel,Díaz García,15122509,True,1.00,Isabel33@correo.com,2490956342,Desarrollador Junior
2179,Ricardo,Fernández González,15697785,True,1.00,Ricardo53@correo.com,6396485025,Desarrollador Junior
2180,Luis,Sánchez López,1859724,True,1.00,Luis54@correo.com,3346961464,Desarrollador Avanzado
2181,Silvia,Ramírez López,15632950,True,1.00,Silvia59@correo.com,2364451327,Desarrollador Intermedio
2182,Silvia,Gómez Pérez,2968904,True,1.00,Silvia22@correo.com,2424994198,Arquitecto
2183,Laura,Fernández Pérez,4179355,True,1.00,Laura52@correo.com,3119739453,Arquitecto
2184,Silvia,Sánchez López,3049162,False,1.00,Silvia60@correo.com,7466645029,Desarrollador Junior
2185,Luis,López Pérez,16711622,True,1.00,Luis24@correo.com,8568050110,Desarrollador Intermedio
2186,Lucía,Rodríguez López,9901969,True,1.00,Lucía55@correo.com,3374097028,Arquitecto
2187,Patricia,López Pérez,11920640,False,1.00,Patricia28@correo.com,7592596853,Desarrollador Junior
2188,Ana,Martínez Sánchez,15435641,True,1.00,Ana29@correo.com,5366628858,Desarrollador Junior
2189,Silvia,Fernández González,15383514,True,1.00,Silvia30@correo.com,7337280941,Desarrollador Avanzado
2190,Silvia,Díaz Martínez,13039866,False,1.00,Silvia24@correo.com,3670241947,Desarrollador Intermedio
2191,Javier,Carvajal Casillas,3843100,True,1.00,Javier55@correo.com,6789348484,Desarrollador Intermedio
2192,Patricia,López González,5035839,False,1.00,Patricia57@correo.com,1644904987,Desarrollador Avanzado
2193,José,Carvajal Casillas,3773725,True,1.00,José60@correo.com,1468931289,Desarrollador Intermedio
2194,Juan,Sánchez García,5920580,True,1.00,Juan25@correo.com,4681856582,Desarrollador Intermedio
2195,Laura,Carvajal Casillas,17013608,True,1.00,Laura22@correo.com,6960107492,Desarrollador Junior
2196,Patricia,Torres Rodríguez,9561281,False,1.00,Patricia52@correo.com,4397745953,Desarrollador Intermedio
2197,Lucía,Fernández Pérez,2119634,False,1.00,Lucía36@correo.com,688494347,Desarrollador Intermedio
2198,Carmen,Gómez Pérez,8804146,False,1.00,Carmen50@correo.com,4528501044,Desarrollador Intermedio
2199,Luis,Sánchez López,3224603,False,1.00,Luis45@correo.com,4275560417,Desarrollador Avanzado
2200,Andrés,Martínez Sánchez,6702036,True,1.00,Andrés45@correo.com,9308168354,Desarrollador Junior
2201,Fernando,Rodríguez López,12902917,True,1.00,Fernando33@correo.com,7928740444,Arquitecto
2202,Carlos,Fernández Pérez,13898326,True,1.00,Carlos44@correo.com,3762084341,Arquitecto
2203,Pedro,Ramírez López,9256416,True,1.00,Pedro51@correo.com,4148667110,Desarrollador Intermedio
2204,Carlos,Hernández Rodríguez,10912543,True,1.00,Carlos42@correo.com,4967622446,Desarrollador Avanzado
2205,Pedro,Hernández Rodríguez,13932597,True,1.00,Pedro54@correo.com,7286922944,Desarrollador Junior
2206,Carmen,Pérez García,8463185,False,1.00,Carmen49@correo.com,1154504380,Desarrollador Avanzado
2207,Carmen,Fernández Pérez,10591132,True,1.00,Carmen56@correo.com,6192904686,Desarrollador Intermedio
2208,María,Díaz García,7113401,True,1.00,María41@correo.com,5888541297,Arquitecto
2209,Andrés,Sánchez García,11355533,True,1.00,Andrés37@correo.com,3226847297,Desarrollador Intermedio
2210,Ricardo,Ramírez López,6131312,True,1.00,Ricardo56@correo.com,8732161586,Desarrollador Intermedio
2211,Patricia,Pérez García,6934099,False,1.00,Patricia32@correo.com,1976468361,Arquitecto
2212,Fernando,Hernández Rodríguez,7313238,False,1.00,Fernando58@correo.com,3453897601,Desarrollador Avanzado
2213,Laura,López González,8016461,True,1.00,Laura51@correo.com,9575653936,Desarrollador Junior
2214,Andrés,Ramírez López,17493023,True,1.00,Andrés59@correo.com,6077272836,Arquitecto
2215,Elena,López González,10174972,False,1.00,Elena31@correo.com,1028384114,Desarrollador Avanzado
2216,Luis,Díaz García,10983107,True,1.00,Luis42@correo.com,9423887064,Desarrollador Junior
2217,Patricia,Arisizabal Florez,8838739,False,1.00,Patricia27@correo.com,4462326273,Desarrollador Avanzado
2218,Isabel,Arisizabal Florez,3500835,False,1.00,Isabel33@correo.com,4495290982,Arquitecto
2219,Laura,Carvajal Casillas,15226734,False,1.00,Laura33@correo.com,4369179308,Desarrollador Intermedio
2220,Laura,Carvajal Casillas,9331232,True,1.00,Laura46@correo.com,3633075000,Arquitecto
2221,Javier,Arisizabal Florez,13366584,True,1.00,Javier31@correo.com,2645637177,Desarrollador Intermedio
2222,Isabel,Carvajal Casillas,17999543,True,1.00,Isabel43@correo.com,7457187813,Desarrollador Avanzado
2223,Silvia,Hernández Rodríguez,15740999,True,1.00,Silvia23@correo.com,6963825799,Arquitecto
2224,Ana,Pérez García,14867440,True,1.00,Ana44@correo.com,6114049167,Desarrollador Junior
2225,Andrés,Sánchez López,5608432,True,1.00,Andrés43@correo.com,2527523350,Arquitecto
2226,Carmen,Pérez García,12025323,True,1.00,Carmen58@correo.com,3033121373,Desarrollador Avanzado
2227,Lucía,González Pérez,7099641,True,1.00,Lucía44@correo.com,9429854694,Desarrollador Intermedio
2228,Pedro,Ramírez López,4193581,True,1.00,Pedro36@correo.com,754979605,Desarrollador Junior
2229,Laura,Sánchez López,1578243,True,1.00,Laura30@correo.com,9281189786,Desarrollador Intermedio
2230,María,López González,6921616,True,1.00,María60@correo.com,9328703246,Arquitecto
2231,Patricia,López González,5463684,False,1.00,Patricia24@correo.com,4165650709,Arquitecto
2232,Juan,Díaz Martínez,5331937,True,1.00,Juan43@correo.com,619909536,Desarrollador Intermedio
2233,Juan,González Pérez,6228324,True,1.00,Juan37@correo.com,6899827985,Desarrollador Avanzado
2234,Isabel,Hernández Rodríguez,10805561,True,1.00,Isabel34@correo.com,1879331908,Desarrollador Avanzado
2235,Juan,Fernández Pérez,9705423,False,1.00,Juan38@correo.com,5336588745,Arquitecto
2236,José,Ramírez López,13180407,False,1.00,José38@correo.com,5131378874,Desarrollador Junior
2237,José,Torres Rodríguez,8065916,True,1.00,José47@correo.com,1239846900,Desarrollador Intermedio
2238,Silvia,Sánchez López,16737263,True,1.00,Silvia50@correo.com,6559621126,Desarrollador Intermedio
2239,José,Arisizabal Florez,7000178,False,1.00,José55@correo.com,4941158623,Arquitecto
2240,Patricia,López González,14162466,False,1.00,Patricia23@correo.com,9283095736,Desarrollador Intermedio
2241,Javier,Carvajal Casillas,8558677,True,1.00,Javier48@correo.com,3137426392,Arquitecto
2242,Sofía,García Díaz,8590198,True,1.00,Sofía30@correo.com,97545225,Desarrollador Avanzado
2243,Ricardo,López Pérez,17918112,True,1.00,Ricardo55@correo.com,7984253816,Desarrollador Avanzado
2244,José,Pérez García,17157596,True,1.00,José26@correo.com,8281225809,Arquitecto
2245,Fernando,Martínez Sánchez,14085675,False,1.00,Fernando33@correo.com,1531768295,Desarrollador Avanzado
2246,Carlos,Ramírez López,12941053,True,1.00,Carlos59@correo.com,3755069010,Desarrollador Junior
2247,Silvia,Martínez Sánchez,16181335,False,1.00,Silvia38@correo.com,8326407374,Desarrollador Avanzado
2248,Fernando,López González,14587205,False,1.00,Fernando59@correo.com,5370427426,Desarrollador Junior
2249,Ana,Sánchez López,12749276,False,1.00,Ana29@correo.com,7923840005,Desarrollador Junior
2250,Luis,López González,15983424,True,1.00,Luis56@correo.com,1595968504,Desarrollador Avanzado
2251,Pedro,Fernández Pérez,3529645,True,1.00,Pedro44@correo.com,6626567828,Desarrollador Intermedio
2252,Ricardo,Sánchez García,13388888,True,1.00,Ricardo43@correo.com,3616308425,Desarrollador Avanzado
2253,Pedro,Rodríguez López,12257438,False,1.00,Pedro36@correo.com,5253100679,Arquitecto
2254,Luis,García Díaz,8666720,True,1.00,Luis37@correo.com,8400234167,Desarrollador Junior
2255,José,Martínez Sánchez,9842915,True,1.00,José50@correo.com,4597298893,Arquitecto
2256,Miguel,Rodríguez López,7448827,True,1.00,Miguel36@correo.com,6077735902,Desarrollador Avanzado
2257,Carlos,Arisizabal Florez,5137483,True,1.00,Carlos26@correo.com,9901010369,Desarrollador Avanzado
2258,Ana,Sánchez López,13286491,False,1.00,Ana49@correo.com,556024645,Desarrollador Avanzado
2259,Laura,Díaz Martínez,1540408,False,1.00,Laura55@correo.com,1225890467,Desarrollador Avanzado
2260,María,Rodríguez López,9429688,True,1.00,María40@correo.com,1965239647,Desarrollador Junior
2261,Laura,Arisizabal Florez,9224632,True,1.00,Laura56@correo.com,9886268989,Desarrollador Avanzado
2262,Luis,González Pérez,11850155,True,1.00,Luis57@correo.com,4897849504,Desarrollador Intermedio
2263,Silvia,López Pérez,9974840,True,1.00,Silvia47@correo.com,5861303998,Arquitecto
2264,Ana,García Díaz,12949552,True,1.00,Ana38@correo.com,2207199735,Desarrollador Junior
2265,Sofía,Pérez García,11067291,False,1.00,Sofía44@correo.com,6785702749,Desarrollador Junior
2266,Carmen,Hernández Rodríguez,15863951,False,1.00,Carmen52@correo.com,3323640532,Arquitecto
2267,Laura,Ramírez López,17375315,True,1.00,Laura22@correo.com,1237670519,Arquitecto
2268,José,Rodríguez López,9531568,True,1.00,José44@correo.com,3033238818,Desarrollador Intermedio
2269,Silvia,Fernández Pérez,12160059,False,1.00,Silvia30@correo.com,2003722214,Desarrollador Intermedio
2270,Javier,Pérez García,7978573,True,1.00,Javier27@correo.com,1182009887,Desarrollador Junior
2271,José,Carvajal Casillas,5298083,False,1.00,José24@correo.com,6681828239,Desarrollador Junior
2272,Lucía,Rodríguez López,4323974,True,1.00,Lucía51@correo.com,4574330933,Desarrollador Junior
2273,José,Carvajal Casillas,7917466,True,1.00,José22@correo.com,9192275515,Desarrollador Intermedio
